-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 10:22:35 PM     10/17/2025 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1117
  Max.    Elevation: 4070
  Mean.   Elevation: 1688.44240796514
  Std.    Deviation: 551.400668896545

                    Elevation          % Area Below Elevation         % Area Watershed

                    1704                     15.79                     .07
                    1705                     15.91                     .12
                    1706                     15.97                     .06
                    1707                     16.04                     .07
                    1708                     16.19                     .15
                    1709                     16.28                     .09
                    1710                     16.39                     .1
                    1711                     16.44                     .05
                    1712                     16.53                     .09
                    1713                     16.66                     .12
                    1714                     16.74                     .09
                    1715                     16.86                     .11
                    1716                     16.91                     .05
                    1717                     16.99                     .08
                    1718                     17.06                     .07
                    1719                     17.18                     .12
                    1720                     17.27                     .09
                    1721                     17.38                     .11
                    1722                     17.46                     .09
                    1723                     17.55                     .09
                    1724                     17.66                     .1
                    1725                     17.79                     .13
                    1726                     17.92                     .13
                    1727                     18                        .08
                    1728                     18.09                     .09
                    1729                     18.2                      .11
                    1730                     18.27                     .07
                    1731                     18.38                     .11
                    1732                     18.5                      .12
                    1733                     18.61                     .11
                    1734                     18.69                     .08
                    1735                     18.8                      .11
                    1736                     18.92                     .11
                    1737                     19.04                     .13
                    1738                     19.14                     .1
                    1739                     19.23                     .08
                    1740                     19.29                     .07
                    1741                     19.4                      .1
                    1742                     19.45                     .05
                    1743                     19.55                     .1
                    1744                     19.66                     .1
                    1745                     19.76                     .1
                    1746                     19.89                     .13
                    1747                     19.96                     .07
                    1748                     20.11                     .15
                    1749                     20.19                     .07
                    1750                     20.28                     .1
                    1751                     20.4                      .11
                    1752                     20.5                      .1
                    1753                     20.61                     .11
                    1754                     20.69                     .08
                    1755                     20.78                     .09
                    1756                     20.87                     .08
                    1757                     20.96                     .09
                    1758                     21.12                     .16
                    1759                     21.2                      .08
                    1760                     21.28                     .08
                    1761                     21.4                      .12
                    1762                     21.5                      .1
                    1763                     21.62                     .12
                    1764                     21.75                     .13
                    1765                     21.84                     .09
                    1766                     21.92                     .08
                    1767                     22.03                     .11
                    1768                     22.17                     .14
                    1769                     22.25                     .08
                    1770                     22.37                     .12
                    1771                     22.54                     .17
                    1772                     22.63                     .09
                    1773                     22.73                     .1
                    1774                     22.82                     .08
                    1775                     22.9                      .08
                    1776                     22.98                     .08
                    1777                     23.09                     .12
                    1778                     23.26                     .17
                    1779                     23.39                     .13
                    1780                     23.48                     .08
                    1781                     23.59                     .11
                    1782                     23.73                     .15
                    1783                     23.86                     .13
                    1784                     23.95                     .09
                    1785                     24.06                     .11
                    1786                     24.22                     .16
                    1787                     24.34                     .12
                    1788                     24.47                     .13
                    1789                     24.54                     .07
                    1790                     24.68                     .14
                    1791                     24.82                     .13
                    1792                     24.92                     .1
                    1793                     25.04                     .12
                    1794                     25.16                     .12
                    1795                     25.26                     .09
                    1796                     25.38                     .12
                    1797                     25.51                     .13
                    1798                     25.63                     .12
                    1799                     25.76                     .13
                    1800                     25.85                     .09
                    1801                     26                        .15
                    1802                     26.11                     .11
                    1803                     26.19                     .08
                    1804                     26.28                     .09
                    1805                     26.38                     .1
                    1806                     26.52                     .14
                    1807                     26.61                     .09
                    1808                     26.72                     .11
                    1809                     26.85                     .13
                    1810                     26.99                     .14
                    1811                     27.1                      .11
                    1812                     27.23                     .13
                    1813                     27.34                     .11
                    1814                     27.44                     .11
                    1815                     27.59                     .15
                    1816                     27.72                     .13
                    1817                     27.84                     .12
                    1818                     27.95                     .11
                    1819                     28.09                     .14
                    1820                     28.2                      .11
                    1821                     28.32                     .12
                    1822                     28.41                     .09
                    1823                     28.53                     .13
                    1824                     28.67                     .14
                    1825                     28.8                      .13
                    1826                     28.91                     .11
                    1827                     29                        .09
                    1828                     29.09                     .09
                    1829                     29.25                     .16
                    1830                     29.38                     .13
                    1831                     29.51                     .13
                    1832                     29.63                     .12
                    1833                     29.74                     .11
                    1834                     29.84                     .1
                    1835                     29.97                     .13
                    1836                     30.08                     .12
                    1837                     30.21                     .12
                    1838                     30.28                     .08
                    1839                     30.39                     .11
                    1840                     30.55                     .16
                    1841                     30.69                     .14
                    1842                     30.84                     .15
                    1843                     30.94                     .1
                    1844                     31.05                     .11
                    1845                     31.19                     .13
                    1846                     31.47                     .28
                    1847                     31.62                     .15
                    1848                     31.73                     .11
                    1849                     31.85                     .12
                    1850                     32.01                     .16
                    1851                     32.16                     .15
                    1852                     32.35                     .19
                    1853                     32.46                     .11
                    1854                     32.58                     .12
                    1855                     32.71                     .12
                    1856                     32.84                     .14
                    1857                     32.96                     .12
                    1858                     33.08                     .12
                    1859                     33.24                     .15
                    1860                     33.36                     .12
                    1861                     33.43                     .07
                    1862                     33.55                     .11
                    1863                     33.73                     .19
                    1864                     33.89                     .16
                    1865                     34.05                     .16
                    1866                     34.2                      .15
                    1867                     34.37                     .17
                    1868                     34.5                      .13
                    1869                     34.62                     .13
                    1870                     34.73                     .1
                    1871                     34.86                     .13
                    1872                     35.02                     .16
                    1873                     35.12                     .1
                    1874                     35.27                     .15
                    1875                     35.4                      .13
                    1876                     35.55                     .15
                    1877                     35.71                     .16
                    1878                     35.82                     .11
                    1879                     35.91                     .1
                    1880                     36.05                     .13
                    1881                     36.22                     .18
                    1882                     36.34                     .12
                    1883                     36.45                     .11
                    1884                     36.62                     .16
                    1885                     36.75                     .13
                    1886                     36.92                     .18
                    1887                     37.09                     .17
                    1888                     37.28                     .19
                    1889                     37.43                     .14
                    1890                     37.56                     .13
                    1891                     37.72                     .17
                    1892                     37.88                     .15
                    1893                     38.06                     .19
                    1894                     38.22                     .16
                    1895                     38.35                     .13
                    1896                     38.48                     .13
                    1897                     38.65                     .17
                    1898                     38.8                      .15
                    1899                     39                        .2
                    1900                     39.14                     .14
                    1901                     39.3                      .16
                    1902                     39.41                     .11
                    1903                     39.53                     .12
                    1904                     39.66                     .13
                    1905                     39.86                     .2
                    1906                     40.07                     .21
                    1907                     40.19                     .12
                    1908                     40.32                     .13
                    1909                     40.51                     .19
                    1910                     40.63                     .11
                    1911                     40.74                     .11
                    1912                     40.88                     .15
                    1913                     41.02                     .14
                    1914                     41.18                     .16
                    1915                     41.31                     .13
                    1916                     41.52                     .21
                    1917                     41.63                     .11
                    1918                     41.77                     .14
                    1919                     41.89                     .12
                    1920                     42.01                     .11
                    1921                     42.1                      .1
                    1922                     42.24                     .14
                    1923                     42.4                      .16
                    1924                     42.56                     .15
                    1925                     42.7                      .15
                    1926                     42.88                     .18
                    1927                     43.08                     .2
                    1928                     43.16                     .08
                    1929                     43.33                     .17
                    1930                     43.52                     .19
                    1931                     43.67                     .15
                    1932                     43.85                     .19
                    1933                     44.04                     .19
                    1934                     44.17                     .13
                    1935                     44.32                     .15
                    1936                     44.49                     .17
                    1937                     44.65                     .17
                    1938                     44.83                     .17
                    1939                     45.01                     .19
                    1940                     45.14                     .13
                    1941                     45.26                     .12
                    1942                     45.42                     .17
                    1943                     45.58                     .15
                    1944                     45.74                     .16
                    1945                     45.88                     .14
                    1946                     46.03                     .16
                    1947                     46.18                     .15
                    1948                     46.3                      .12
                    1949                     46.41                     .12
                    1950                     46.58                     .16
                    1951                     46.67                     .1
                    1952                     46.83                     .15
                    1953                     47                        .18
                    1954                     47.19                     .19
                    1955                     47.37                     .18
                    1956                     47.51                     .14
                    1957                     47.65                     .14
                    1958                     47.81                     .16
                    1959                     47.95                     .14
                    1960                     48.11                     .16
                    1961                     48.27                     .16
                    1962                     48.43                     .16
                    1963                     48.6                      .17
                    1964                     48.81                     .21
                    1965                     48.95                     .13
                    1966                     49.1                      .16
                    1967                     49.24                     .14
                    1968                     49.39                     .15
                    1969                     49.52                     .14
                    1970                     49.69                     .17
                    1971                     49.89                     .2
                    1972                     50.04                     .15
                    1973                     50.24                     .2
                    1974                     50.36                     .12
                    1975                     50.5                      .14
                    1976                     50.61                     .11
                    1977                     50.77                     .16
                    1978                     50.92                     .15
                    1979                     51.07                     .15
                    1980                     51.25                     .18
                    1981                     51.4                      .15
                    1982                     51.55                     .15
                    1983                     51.72                     .17
                    1984                     51.9                      .18
                    1985                     52.07                     .18
                    1986                     52.19                     .12
                    1987                     52.35                     .16
                    1988                     52.47                     .11
                    1989                     52.63                     .16
                    1990                     52.77                     .14
                    1991                     52.94                     .17
                    1992                     53.12                     .18
                    1993                     53.26                     .14
                    1994                     53.51                     .26
                    1995                     53.64                     .13
                    1996                     53.76                     .11
                    1997                     53.91                     .15
                    1998                     54.06                     .15
                    1999                     54.21                     .15
                    2000                     54.39                     .18
                    2001                     54.55                     .16
                    2002                     54.65                     .11
                    2003                     54.82                     .16
                    2004                     54.99                     .17
                    2005                     55.13                     .15
                    2006                     55.34                     .2
                    2007                     55.5                      .17
                    2008                     55.63                     .13
                    2009                     55.83                     .2
                    2010                     55.96                     .14
                    2011                     56.09                     .13
                    2012                     56.32                     .23
                    2013                     56.47                     .16
                    2014                     56.61                     .14
                    2015                     56.75                     .14
                    2016                     56.86                     .11
                    2017                     57.02                     .16
                    2018                     57.17                     .15
                    2019                     57.37                     .2
                    2020                     57.53                     .16
                    2021                     57.67                     .14
                    2022                     57.85                     .19
                    2023                     58.01                     .16
                    2024                     58.16                     .15
                    2025                     58.3                      .14
                    2026                     58.46                     .16
                    2027                     58.61                     .15
                    2028                     58.73                     .12
                    2029                     58.87                     .13
                    2030                     58.98                     .12
                    2031                     59.18                     .19
                    2032                     59.3                      .12
                    2033                     59.46                     .16
                    2034                     59.65                     .19
                    2035                     59.78                     .13
                    2036                     59.95                     .17
                    2037                     60.13                     .18
                    2038                     60.26                     .13
                    2039                     60.38                     .12
                    2040                     60.57                     .19
                    2041                     60.73                     .16
                    2042                     60.85                     .12
                    2043                     60.96                     .11
                    2044                     61.09                     .13
                    2045                     61.21                     .12
                    2046                     61.43                     .22
                    2047                     61.58                     .15
                    2048                     61.7                      .12
                    2049                     61.84                     .14
                    2050                     61.95                     .11
                    2051                     62.1                      .15
                    2052                     62.22                     .12
                    2053                     62.38                     .17
                    2054                     62.54                     .15
                    2055                     62.65                     .12
                    2056                     62.81                     .15
                    2057                     62.96                     .15
                    2058                     63.08                     .13
                    2059                     63.24                     .16
                    2060                     63.41                     .17
                    2061                     63.53                     .12
                    2062                     63.68                     .15
                    2063                     63.8                      .12
                    2064                     63.9                      .1
                    2065                     64.06                     .16
                    2066                     64.24                     .18
                    2067                     64.34                     .1
                    2068                     64.49                     .15
                    2069                     64.65                     .17
                    2070                     64.83                     .17
                    2071                     64.96                     .14
                    2072                     65.1                      .14
                    2073                     65.25                     .15
                    2074                     65.4                      .15
                    2075                     65.53                     .13
                    2076                     65.66                     .13
                    2077                     65.78                     .12
                    2078                     65.93                     .15
                    2079                     66.06                     .13
                    2080                     66.18                     .12
                    2081                     66.31                     .13
                    2082                     66.46                     .16
                    2083                     66.6                      .13
                    2084                     66.7                      .11
                    2085                     66.81                     .1
                    2086                     66.9                      .09
                    2087                     67.09                     .19
                    2088                     67.21                     .13
                    2089                     67.31                     .09
                    2090                     67.41                     .1
                    2091                     67.56                     .15
                    2092                     67.7                      .14
                    2093                     67.81                     .11
                    2094                     67.88                     .07
                    2095                     68.02                     .14
                    2096                     68.17                     .15
                    2097                     68.28                     .11
                    2098                     68.35                     .07
                    2099                     68.45                     .1
                    2100                     68.54                     .09
                    2101                     68.62                     .08
                    2102                     68.73                     .11
                    2103                     68.82                     .08
                    2104                     68.94                     .12
                    2105                     69.04                     .1
                    2106                     69.11                     .07
                    2107                     69.16                     .05
                    2108                     69.25                     .09
                    2109                     69.32                     .07
                    2110                     69.42                     .1
                    2111                     69.54                     .12
                    2112                     69.61                     .07
                    2113                     69.71                     .1
                    2114                     69.79                     .08
                    2115                     69.87                     .07
                    2116                     69.94                     .07
                    2117                     70                        .07
                    2118                     70.1                      .1
                    2119                     70.19                     .08
                    2120                     70.27                     .08
                    2121                     70.35                     .08
                    2122                     70.43                     .08
                    2123                     70.5                      .07
                    2124                     70.56                     .06
                    2125                     70.63                     .07
                    2126                     70.71                     .08
                    2127                     70.79                     .08
                    2128                     70.88                     .09
                    2129                     70.97                     .08
                    2130                     71.01                     .04
                    2131                     71.11                     .11
                    2132                     71.21                     .09
                    2133                     71.28                     .07
                    2134                     71.34                     .07
                    2135                     71.39                     .04
                    2136                     71.45                     .06
                    2137                     71.55                     .1
                    2138                     71.59                     .04
                    2139                     71.67                     .08
                    2140                     71.79                     .12
                    2141                     71.86                     .07
                    2142                     71.93                     .07
                    2143                     72                        .07
                    2144                     72.07                     .08
                    2145                     72.14                     .07
                    2146                     72.2                      .05
                    2147                     72.27                     .07
                    2148                     72.36                     .09
                    2149                     72.44                     .08
                    2150                     72.52                     .07
                    2151                     72.6                      .09
                    2152                     72.7                      .1
                    2153                     72.81                     .1
                    2154                     72.86                     .06
                    2155                     72.94                     .07
                    2156                     73.02                     .08
                    2157                     73.08                     .06
                    2158                     73.17                     .09
                    2159                     73.24                     .07
                    2160                     73.31                     .07
                    2161                     73.38                     .07
                    2162                     73.43                     .04
                    2163                     73.56                     .13
                    2164                     73.65                     .09
                    2165                     73.74                     .09
                    2166                     73.83                     .09
                    2167                     73.9                      .07
                    2168                     74                        .1
                    2169                     74.09                     .09
                    2170                     74.17                     .08
                    2171                     74.21                     .04
                    2172                     74.28                     .06
                    2173                     74.33                     .05
                    2174                     74.41                     .08
                    2175                     74.46                     .05
                    2176                     74.54                     .08
                    2177                     74.63                     .09
                    2178                     74.69                     .05
                    2179                     74.79                     .1
                    2180                     74.86                     .06
                    2181                     74.89                     .04
                    2182                     74.97                     .08
                    2183                     75.05                     .07
                    2184                     75.12                     .07
                    2185                     75.18                     .06
                    2186                     75.27                     .09
                    2187                     75.34                     .07
                    2188                     75.4                      .06
                    2189                     75.48                     .08
                    2190                     75.56                     .08
                    2191                     75.67                     .11
                    2192                     75.75                     .08
                    2193                     75.82                     .07
                    2194                     75.86                     .03
                    2195                     75.93                     .08
                    2196                     75.98                     .04
                    2197                     76.07                     .09
                    2198                     76.18                     .11
                    2199                     76.24                     .06
                    2200                     76.31                     .06
                    2201                     76.41                     .11
                    2202                     76.46                     .04
                    2203                     76.55                     .09
                    2204                     76.67                     .12
                    2205                     76.72                     .05
                    2206                     76.79                     .07
                    2207                     76.86                     .07
                    2208                     76.95                     .09
                    2209                     77.02                     .07
                    2210                     77.13                     .1
                    2211                     77.22                     .09
                    2212                     77.27                     .05
                    2213                     77.35                     .07
                    2214                     77.4                      .05
                    2215                     77.48                     .08
                    2216                     77.57                     .09
                    2217                     77.63                     .06
                    2218                     77.72                     .09
                    2219                     77.8                      .08
                    2220                     77.9                      .09
                    2221                     77.95                     .06
                    2222                     78.01                     .06
                    2223                     78.07                     .06
                    2224                     78.15                     .07
                    2225                     78.22                     .07
                    2226                     78.33                     .11
                    2227                     78.44                     .11
                    2228                     78.57                     .13
                    2229                     78.67                     .09
                    2230                     78.74                     .07
                    2231                     78.82                     .08
                    2232                     78.9                      .08
                    2233                     78.99                     .09
                    2234                     79.1                      .11
                    2235                     79.16                     .06
                    2236                     79.22                     .05
                    2237                     79.33                     .12
                    2238                     79.41                     .08
                    2239                     79.49                     .07
                    2240                     79.59                     .11
                    2241                     79.68                     .09
                    2242                     79.75                     .07
                    2243                     79.85                     .1
                    2244                     79.95                     .1
                    2245                     80.05                     .1
                    2246                     80.14                     .09
                    2247                     80.23                     .08
                    2248                     80.36                     .14
                    2249                     80.44                     .07
                    2250                     80.52                     .09
                    2251                     80.63                     .11
                    2252                     80.71                     .07
                    2253                     80.79                     .09
                    2254                     80.89                     .1
                    2255                     80.98                     .09
                    2256                     81.12                     .14
                    2257                     81.2                      .08
                    2258                     81.31                     .11
                    2259                     81.36                     .04
                    2260                     81.41                     .05
                    2261                     81.51                     .1
                    2262                     81.58                     .07
                    2263                     81.67                     .08
                    2264                     81.73                     .06
                    2265                     81.83                     .1
                    2266                     81.92                     .09
                    2267                     81.99                     .07
                    2268                     82.04                     .05
                    2269                     82.13                     .09
                    2270                     82.19                     .06
                    2271                     82.33                     .15
                    2272                     82.42                     .09
                    2273                     82.49                     .06
                    2274                     82.56                     .07
                    2275                     82.63                     .08
                    2276                     82.73                     .09
                    2277                     82.8                      .07
                    2278                     82.86                     .06
                    2279                     82.95                     .08
                    2280                     83.03                     .08
                    2281                     83.11                     .08
                    2282                     83.16                     .04
                    2283                     83.2                      .04
                    2284                     83.28                     .08
                    2285                     83.35                     .07
                    2286                     83.4                      .04
                    2287                     83.47                     .07
                    2288                     83.55                     .07
                    2289                     83.59                     .04
                    2290                     83.68                     .09
                    2291                     83.72                     .04
                    2292                     83.8                      .08
                    2293                     83.9                      .1
                    2294                     84                        .1
                    2295                     84.04                     .04
                    2296                     84.09                     .05
