-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 10:22:35 PM     10/17/2025 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1117
  Max.    Elevation: 4070
  Mean.   Elevation: 1688.44240796514
  Std.    Deviation: 551.400668896545

                    Elevation          % Area Below Elevation         % Area Watershed

                    1332                     30.83                     .12
                    1333                     30.97                     .13
                    1334                     31.09                     .12
                    1335                     31.21                     .13
                    1336                     31.34                     .13
                    1337                     31.46                     .12
                    1338                     31.58                     .12
                    1339                     31.71                     .13
                    1340                     31.84                     .13
                    1341                     31.96                     .13
                    1342                     32.08                     .12
                    1343                     32.2                      .12
                    1344                     32.32                     .12
                    1345                     32.44                     .11
                    1346                     32.56                     .12
                    1347                     32.71                     .15
                    1348                     32.82                     .12
                    1349                     32.94                     .11
                    1350                     33.05                     .12
                    1351                     33.18                     .13
                    1352                     33.31                     .13
                    1353                     33.43                     .13
                    1354                     33.56                     .12
                    1355                     33.68                     .12
                    1356                     33.79                     .11
                    1357                     33.91                     .12
                    1358                     34.03                     .12
                    1359                     34.15                     .12
                    1360                     34.27                     .12
                    1361                     34.38                     .11
                    1362                     34.5                      .12
                    1363                     34.62                     .12
                    1364                     34.74                     .12
                    1365                     34.86                     .12
                    1366                     34.98                     .12
                    1367                     35.1                      .13
                    1368                     35.22                     .12
                    1369                     35.34                     .11
                    1370                     35.45                     .11
                    1371                     35.58                     .13
                    1372                     35.7                      .12
                    1373                     35.82                     .12
                    1374                     35.95                     .12
                    1375                     36.05                     .11
                    1376                     36.19                     .13
                    1377                     36.3                      .12
                    1378                     36.44                     .14
                    1379                     36.57                     .13
                    1380                     36.7                      .13
                    1381                     36.82                     .12
                    1382                     36.95                     .13
                    1383                     37.06                     .11
                    1384                     37.17                     .11
                    1385                     37.29                     .12
                    1386                     37.42                     .12
                    1387                     37.54                     .12
                    1388                     37.66                     .12
                    1389                     37.77                     .11
                    1390                     37.9                      .12
                    1391                     38.02                     .12
                    1392                     38.14                     .12
                    1393                     38.26                     .12
                    1394                     38.38                     .12
                    1395                     38.5                      .12
                    1396                     38.61                     .11
                    1397                     38.72                     .12
                    1398                     38.84                     .11
                    1399                     38.95                     .11
                    1400                     39.06                     .11
                    1401                     39.18                     .11
                    1402                     39.29                     .12
                    1403                     39.41                     .12
                    1404                     39.53                     .12
                    1405                     39.64                     .11
                    1406                     39.76                     .12
                    1407                     39.88                     .12
                    1408                     39.99                     .11
                    1409                     40.1                      .11
                    1410                     40.21                     .11
                    1411                     40.32                     .11
                    1412                     40.43                     .11
                    1413                     40.54                     .12
                    1414                     40.65                     .11
                    1415                     40.76                     .11
                    1416                     40.86                     .1
                    1417                     40.97                     .11
                    1418                     41.08                     .11
                    1419                     41.19                     .12
                    1420                     41.3                      .11
                    1421                     41.41                     .11
                    1422                     41.53                     .12
                    1423                     41.65                     .12
                    1424                     41.76                     .11
                    1425                     41.87                     .11
                    1426                     41.98                     .11
                    1427                     42.08                     .11
                    1428                     42.19                     .11
                    1429                     42.31                     .12
                    1430                     42.42                     .12
                    1431                     42.54                     .12
                    1432                     42.65                     .11
                    1433                     42.77                     .12
                    1434                     42.88                     .11
                    1435                     42.98                     .11
                    1436                     43.09                     .11
                    1437                     43.21                     .11
                    1438                     43.32                     .11
                    1439                     43.43                     .11
                    1440                     43.55                     .12
                    1441                     43.66                     .1
                    1442                     43.78                     .12
                    1443                     43.89                     .12
                    1444                     44.01                     .12
                    1445                     44.13                     .11
                    1446                     44.23                     .11
                    1447                     44.34                     .11
                    1448                     44.46                     .11
                    1449                     44.58                     .12
                    1450                     44.7                      .12
                    1451                     44.81                     .11
                    1452                     44.93                     .11
                    1453                     45.05                     .12
                    1454                     45.15                     .1
                    1455                     45.27                     .12
                    1456                     45.38                     .11
                    1457                     45.49                     .11
                    1458                     45.61                     .12
                    1459                     45.72                     .11
                    1460                     45.83                     .11
                    1461                     45.93                     .11
                    1462                     46.06                     .12
                    1463                     46.17                     .11
                    1464                     46.28                     .11
                    1465                     46.39                     .11
                    1466                     46.5                      .11
                    1467                     46.62                     .11
                    1468                     46.73                     .11
                    1469                     46.84                     .12
                    1470                     46.95                     .11
